run_id,t_now_s,health_true,health_est,rul_est_s,rul_lo_s,rul_hi_s,rul_true_s,conf,decaying
RUL_BEARING_EXP_U02,53.99,0.9274,0.8344,32.229839421522364,32.229839421522364,427.17284811708697,109.0,0.424,True
RUL_BEARING_EXP_U02,54.99,0.9253,0.8861,32.59040461226757,32.59040461226757,426.92023265912917,108.0,0.455,True
RUL_BEARING_EXP_U02,55.99,0.9232,0.886,33.715562432647864,33.715562432647864,401.9852927461665,107.0,0.485,True
RUL_BEARING_EXP_U02,56.99,0.9211,0.9003,37.3334950690795,37.3334950690795,445.92973593740385,106.0,0.489,True
RUL_BEARING_EXP_U02,57.99,0.9189,0.8924,41.4198474823774,41.4198474823774,459.03285591865244,105.0,0.507,True
RUL_BEARING_EXP_U02,58.99,0.9167,0.8905,46.317900432649445,46.317900432649445,489.853172328357,104.0,0.517,True
RUL_BEARING_EXP_U02,59.99,0.9145,0.8907,54.75789045570401,54.75789045570401,548.255881803999,103.0,0.527,True
RUL_BEARING_EXP_U02,60.99,0.9122,0.8869,200.53621425682869,0.0,925.6834765676894,102.0,0.538,True
RUL_BEARING_EXP_U02,61.99,0.9099,0.887,199.24183958513032,0.0,905.0408758248655,101.0,0.542,True
RUL_BEARING_EXP_U02,62.99,0.9076,0.8867,199.43236218612756,0.0,908.8000176491365,100.0,0.541,True
RUL_BEARING_EXP_U02,63.99,0.9052,0.8831,198.75735863640216,0.0,907.2339367547739,99.0,0.54,True
RUL_BEARING_EXP_U02,64.99,0.9027,0.8422,171.51703654228572,0.0,651.5142152964014,98.0,0.571,True
RUL_BEARING_EXP_U02,65.99,0.9003,0.8738,182.38207007746902,0.0,730.25301724562,97.0,0.568,True
RUL_BEARING_EXP_U02,66.99,0.8978,0.8708,182.7753045468662,0.0,740.9795990113734,96.0,0.563,True
RUL_BEARING_EXP_U02,67.99,0.8952,0.8686,184.18097443496285,0.0,763.3695664940909,95.0,0.556,True
RUL_BEARING_EXP_U02,68.99,0.8926,0.8706,190.43275291131027,0.0,845.0909998461907,94.0,0.537,True
RUL_BEARING_EXP_U02,69.99,0.89,0.8669,195.75219225429035,0.0,930.3099945228333,93.0,0.518,True
RUL_BEARING_EXP_U02,70.99,0.8873,0.8589,198.88258384433755,0.0,993.8161006640805,92.0,0.503,True
RUL_BEARING_EXP_U02,71.99,0.8845,0.8636,211.6132612827719,0.0,1195.1001157762605,91.0,0.475,True
RUL_BEARING_EXP_U02,72.99,0.8818,0.8628,226.3796176546196,0.0,1484.1810679172859,90.0,0.442,True
RUL_BEARING_EXP_U02,73.99,0.8789,0.8634,244.11020572383183,0.0,1905.5960757289413,89.0,0.407,True
RUL_BEARING_EXP_U02,74.99,0.8761,0.871,,,,88.0,0.35,False
RUL_BEARING_EXP_U02,75.99,0.8732,0.8692,,,,87.0,0.292,False
RUL_BEARING_EXP_U02,76.99,0.8702,0.8728,,,,86.0,0.221,False
RUL_BEARING_EXP_U02,77.99,0.8672,0.8718,,,,85.0,0.153,False
RUL_BEARING_EXP_U02,78.99,0.8641,0.868,,,,84.0,0.091,False
RUL_BEARING_EXP_U02,79.99,0.861,0.8236,,,,83.0,0.081,False
RUL_BEARING_EXP_U02,80.99,0.8578,0.8242,,,,82.0,0.076,False
RUL_BEARING_EXP_U02,81.99,0.8546,0.8636,,,,81.0,0.149,False
RUL_BEARING_EXP_U02,82.99,0.8513,0.8623,,,,80.0,0.278,False
RUL_BEARING_EXP_U02,83.99,0.848,0.8644,398.08043847722405,0.0,3731.537953936278,79.0,0.489,True
RUL_BEARING_EXP_U02,84.99,0.8446,0.8624,411.8285870425983,0.0,4297.974889714175,78.0,0.463,True
RUL_BEARING_EXP_U02,85.99,0.8411,0.8557,412.607055657813,0.0,4425.874804619079,77.0,0.454,True
RUL_BEARING_EXP_U02,86.99,0.8376,0.8161,350.7784601754547,0.0,3181.874570845564,76.0,0.461,True
RUL_BEARING_EXP_U02,87.99,0.834,0.8088,306.4292119644839,0.0,2338.9559202189757,75.0,0.48,True
RUL_BEARING_EXP_U02,88.99,0.8304,0.8039,67.39410519340665,67.39410519340665,911.0469877076713,74.0,0.501,True
RUL_BEARING_EXP_U02,89.99,0.8267,0.803,52.82229931278796,52.82229931278796,660.3846276178565,73.0,0.521,True
RUL_BEARING_EXP_U02,90.99,0.823,0.7992,45.081846905374036,45.081846905374036,510.50253466774996,72.0,0.544,True
RUL_BEARING_EXP_U02,91.99,0.8192,0.7979,40.148231032647075,40.148231032647075,422.58472750794317,71.0,0.563,True
RUL_BEARING_EXP_U02,92.99,0.8153,0.7979,36.91282772802249,36.91282772802249,369.8217561325621,70.0,0.578,True
RUL_BEARING_EXP_U02,93.99,0.8114,0.7883,33.777615112458435,33.777615112458435,309.85014235331306,69.0,0.596,True
RUL_BEARING_EXP_U02,94.99,0.8073,0.7885,36.77993417462257,36.77993417462257,263.6367895116055,68.0,0.702,True
RUL_BEARING_EXP_U02,95.99,0.8033,0.7828,36.30017273179307,36.30017273179307,237.27288602944725,67.0,0.728,True
RUL_BEARING_EXP_U02,96.99,0.7991,0.784,37.379625445377215,37.379625445377215,227.16307200155785,66.0,0.752,True
RUL_BEARING_EXP_U02,97.99,0.7949,0.7836,39.81513593533769,39.81513593533769,224.53368917033623,65.0,0.775,True
RUL_BEARING_EXP_U02,98.99,0.7906,0.7856,43.76592260212989,43.76592260212989,234.36462595774555,64.0,0.787,True
RUL_BEARING_EXP_U02,99.99,0.7863,0.7704,46.08875628294369,46.08875628294369,219.74782550139764,63.0,0.807,True
RUL_BEARING_EXP_U02,100.99,0.7819,0.7673,52.522072285570616,52.522072285570616,217.92756931208652,62.0,0.835,True
RUL_BEARING_EXP_U02,101.99,0.7774,0.7662,116.18247967449834,0.0,201.36823978444534,61.0,0.851,True
RUL_BEARING_EXP_U02,102.99,0.7728,0.7682,114.55940955262413,33.493935824415644,193.33521377737077,60.0,0.862,True
RUL_BEARING_EXP_U02,103.99,0.7681,0.775,116.67755073179404,55.50563770579207,199.41146186392,59.0,0.859,True
RUL_BEARING_EXP_U02,104.99,0.7634,0.7832,123.60294797101503,48.7573686941239,228.15671639865047,58.0,0.833,True
RUL_BEARING_EXP_U02,105.99,0.7586,0.7875,131.96436446067892,36.88772466840874,271.0988507990933,57.0,0.795,True
RUL_BEARING_EXP_U02,106.99,0.7537,0.8207,162.48795004293314,0.0,488.31495180861805,56.0,0.664,True
RUL_BEARING_EXP_U02,107.99,0.7487,0.7839,164.86422002512583,0.0,547.3097500908158,55.0,0.62,True
RUL_BEARING_EXP_U02,108.99,0.7436,0.7818,180.66457617535082,0.0,704.9248272527249,54.0,0.576,True
RUL_BEARING_EXP_U02,109.99,0.7385,0.7674,169.44619924434707,0.0,599.0793649080348,53.0,0.6,True
RUL_BEARING_EXP_U02,110.99,0.7333,0.7659,164.57534125288234,0.0,548.4357151664491,52.0,0.618,True
RUL_BEARING_EXP_U02,111.99,0.7279,0.7227,146.5753866433672,0.0,451.37708157920406,51.0,0.618,True
RUL_BEARING_EXP_U02,112.99,0.7225,0.667,113.17354152374854,7.273411180632877,316.6518883489189,50.0,0.58,True
RUL_BEARING_EXP_U02,113.99,0.717,0.6692,105.87496370777943,0.0,289.0163118294602,49.0,0.57,True
RUL_BEARING_EXP_U02,114.99,0.7114,0.6694,30.577109269803017,30.577109269803017,155.56371703768312,48.0,0.569,True
RUL_BEARING_EXP_U02,115.99,0.7058,0.6652,22.919219009620107,22.919219009620107,141.1590349766809,47.0,0.57,True
RUL_BEARING_EXP_U02,116.99,0.7,0.6628,20.147536638566052,20.147536638566052,124.95906839494546,46.0,0.597,True
RUL_BEARING_EXP_U02,117.99,0.6941,0.6618,18.634293191171864,18.634293191171864,111.94085571449527,45.0,0.628,True
RUL_BEARING_EXP_U02,118.99,0.6881,0.6692,18.317421421274034,18.317421421274034,105.28168792474239,44.0,0.656,True
RUL_BEARING_EXP_U02,119.99,0.682,0.67,18.4985145839092,18.4985145839092,99.2491336937787,43.0,0.679,True
RUL_BEARING_EXP_U02,120.99,0.6759,0.6612,18.73582740671135,18.73582740671135,90.84611536245124,42.0,0.703,True
RUL_BEARING_EXP_U02,121.99,0.6696,0.5876,15.672646645111556,15.672646645111556,63.41512997428942,41.0,0.72,True
RUL_BEARING_EXP_U02,122.99,0.6632,0.5846,13.768251227790401,13.768251227790401,56.196305866732445,40.0,0.742,True
RUL_BEARING_EXP_U02,123.99,0.6567,0.5905,13.082978739471073,13.082978739471073,51.97797119056925,39.0,0.772,True
RUL_BEARING_EXP_U02,124.99,0.6501,0.6008,13.28408616465201,13.28408616465201,50.28011866813378,38.0,0.797,True
RUL_BEARING_EXP_U02,125.99,0.6434,0.6149,14.762064110216144,14.762064110216144,50.375034399878444,37.0,0.816,True
RUL_BEARING_EXP_U02,126.99,0.6365,0.5589,14.13194721870532,14.13194721870532,38.23522288984045,36.0,0.838,True
RUL_BEARING_EXP_U02,127.99,0.6296,0.5618,14.306429413280469,14.306429413280469,36.383152167090344,35.0,0.858,True
RUL_BEARING_EXP_U02,128.99,0.6225,0.5735,15.724881743909037,15.724881743909037,36.83916531952349,34.0,0.869,True
RUL_BEARING_EXP_U02,129.99,0.6153,0.5779,31.394905067873168,18.703867636360826,36.71442523093431,33.0,0.882,True
RUL_BEARING_EXP_U02,130.99,0.608,0.5841,31.81758802055085,27.763921036749114,37.09746685518438,32.0,0.888,True
RUL_BEARING_EXP_U02,131.99,0.6006,0.589,32.463045000655995,28.199818213747818,38.03321364068734,31.0,0.886,True
RUL_BEARING_EXP_U02,132.99,0.5931,0.5871,32.651804017857536,28.178801775941853,38.56330949722599,30.0,0.877,True
RUL_BEARING_EXP_U02,133.99,0.5854,0.5881,33.691934346212555,28.584848692692326,40.602227558519715,29.0,0.859,True
RUL_BEARING_EXP_U02,134.99,0.5776,0.5479,29.41648501423409,25.451323061127596,34.81692713895369,28.0,0.854,True
RUL_BEARING_EXP_U02,135.99,0.5697,0.5231,26.779334218899177,23.195655690804465,31.672697302118323,27.0,0.852,True
RUL_BEARING_EXP_U02,136.99,0.5616,0.534,29.93417239772831,25.813152504690343,35.55435428828352,26.0,0.853,True
RUL_BEARING_EXP_U02,137.99,0.5534,0.5229,29.719513112506302,25.625523815500998,35.31880791379902,25.0,0.851,True
RUL_BEARING_EXP_U02,138.99,0.545,0.5278,32.31249474537546,27.45415310610391,38.96668814275669,24.0,0.849,True
RUL_BEARING_EXP_U02,139.99,0.5366,0.526,34.24786347676508,28.794188637871226,41.715387195600485,23.0,0.85,True
RUL_BEARING_EXP_U02,140.99,0.5279,0.4915,30.541573094630063,26.49523250281103,35.94821547442277,22.0,0.869,True
RUL_BEARING_EXP_U02,141.99,0.5192,0.4821,29.454142580941255,25.735176272320675,34.40373794299213,21.0,0.872,True
RUL_BEARING_EXP_U02,142.99,0.5102,0.476,27.471452557360855,24.153840795064223,31.84554606479666,20.0,0.879,True
RUL_BEARING_EXP_U02,143.99,0.5012,0.4762,26.9767145963909,23.776260496133506,31.172794943394788,19.0,0.883,True
RUL_BEARING_EXP_U02,144.99,0.492,0.4707,25.836720160219567,22.799709022345592,29.807150075781568,18.0,0.885,True
RUL_BEARING_EXP_U02,145.99,0.4826,0.4764,26.80326247886127,23.639365548436412,30.94493862138643,17.0,0.885,True
RUL_BEARING_EXP_U02,146.99,0.4731,0.4714,26.277837591026408,23.146542311278473,30.388886966591954,16.0,0.882,True
RUL_BEARING_EXP_U02,147.99,0.4634,0.4746,27.419347139191128,24.0646887910367,31.860796032041243,15.0,0.876,True
RUL_BEARING_EXP_U02,148.99,0.4535,0.4762,29.038577925546956,25.364109118866846,33.95582595823924,14.0,0.868,True
RUL_BEARING_EXP_U02,149.99,0.4435,0.4699,29.724881887614927,21.29703376519739,34.92694670614672,13.0,0.866,True
RUL_BEARING_EXP_U02,150.99,0.4333,0.4465,15.71137083263244,15.71137083263244,31.088181442986254,12.0,0.874,True
RUL_BEARING_EXP_U02,151.99,0.4229,0.4494,26.46096892878535,17.728550619272966,30.473268571210756,11.0,0.888,True
RUL_BEARING_EXP_U02,152.99,0.4124,0.4377,23.55965080856293,19.990041259628555,26.826215773246,10.0,0.902,True
RUL_BEARING_EXP_U02,153.99,0.4017,0.4383,23.294761867774955,20.844320463945877,26.398101233363462,9.0,0.908,True
RUL_BEARING_EXP_U02,154.99,0.3908,0.4383,23.505327835499042,20.99830180928789,29.311605705023595,8.0,0.906,True
RUL_BEARING_EXP_U02,155.99,0.3797,0.4335,23.429109469336346,20.887593910444238,26.674786562079554,7.0,0.903,True
RUL_BEARING_EXP_U02,156.99,0.3685,0.4358,23.420874848882498,21.03017965095205,26.424829876376656,6.0,0.914,True
RUL_BEARING_EXP_U02,157.99,0.357,0.4302,22.2176611917386,20.031103178988698,24.94007325944826,5.0,0.92,True
RUL_BEARING_EXP_U02,158.99,0.3454,0.4305,22.56548805674649,20.262485941604687,25.459132842200738,4.0,0.914,True
RUL_BEARING_EXP_U02,159.99,0.3335,0.4216,21.451515048202772,19.18543248108159,24.324610322918993,3.0,0.908,True
RUL_BEARING_EXP_U02,160.99,0.3215,0.3839,14.764988803285506,13.202419896425694,16.747085690507575,2.0,0.907,True
RUL_BEARING_EXP_U02,161.99,0.3092,0.3113,1.874290752122401,1.6341867044906673,18.10056249605239,1.0,0.864,True
RUL_BEARING_LIN_U02,9.99,0.9473,0.8259,19.68333702216907,0.0,86.72692608128065,123.0,0.817,True
RUL_BEARING_LIN_U02,10.99,0.942,0.7947,6.8190311227197125,6.8190311227197125,26.35368769740265,122.0,0.883,True
RUL_BEARING_LIN_U02,11.99,0.9367,0.9412,,,,121.0,0.4,False
RUL_BEARING_LIN_U02,12.99,0.9314,0.9381,,,,120.0,0.188,False
RUL_BEARING_LIN_U02,13.99,0.9262,0.9542,,,,119.0,0.058,False
RUL_BEARING_LIN_U02,14.99,0.9209,0.9234,,,,118.0,0.035,False
RUL_BEARING_LIN_U02,15.99,0.9156,0.847,,,,117.0,0.102,False
RUL_BEARING_LIN_U02,16.99,0.9103,0.8983,,,,116.0,0.097,False
RUL_BEARING_LIN_U02,17.99,0.9051,0.9144,,,,115.0,0.071,False
RUL_BEARING_LIN_U02,18.99,0.8998,0.9069,,,,114.0,0.061,False
RUL_BEARING_LIN_U02,19.99,0.8945,0.907,,,,113.0,0.053,False
RUL_BEARING_LIN_U02,20.99,0.8892,0.9001,,,,112.0,0.052,False
RUL_BEARING_LIN_U02,21.99,0.8839,0.846,,,,111.0,0.102,False
RUL_BEARING_LIN_U02,22.99,0.8787,0.8425,,,,110.0,0.155,False
RUL_BEARING_LIN_U02,23.99,0.8734,0.8805,,,,109.0,0.16,False
RUL_BEARING_LIN_U02,24.99,0.8681,0.8852,,,,108.0,0.158,False
RUL_BEARING_LIN_U02,25.99,0.8628,0.8419,,,,107.0,0.204,False
RUL_BEARING_LIN_U02,26.99,0.8576,0.8393,,,,106.0,0.247,False
RUL_BEARING_LIN_U02,27.99,0.8523,0.8412,,,,105.0,0.283,False
RUL_BEARING_LIN_U02,28.99,0.847,0.797,,,,104.0,0.349,False
RUL_BEARING_LIN_U02,29.99,0.8417,0.8369,,,,103.0,0.375,False
RUL_BEARING_LIN_U02,30.99,0.8364,0.8375,,,,102.0,0.396,False
RUL_BEARING_LIN_U02,31.99,0.8312,0.8365,133.7096834131649,0.0,690.3737396581562,101.0,0.415,True
RUL_BEARING_LIN_U02,32.99,0.8259,0.8345,135.3652546961677,0.0,633.9681729283684,100.0,0.432,True
RUL_BEARING_LIN_U02,33.99,0.8206,0.827,134.46065045161635,0.0,561.7212553301198,99.0,0.453,True
RUL_BEARING_LIN_U02,34.99,0.8153,0.8202,148.58714117040617,0.0,728.5799568148326,98.0,0.423,True
RUL_BEARING_LIN_U02,35.99,0.8101,0.7898,40.57708715381755,40.57708715381755,311.64318855689254,97.0,0.435,True
RUL_BEARING_LIN_U02,36.99,0.8048,0.7846,34.594989805423914,34.594989805423914,254.9323948390368,96.0,0.448,True
RUL_BEARING_LIN_U02,37.99,0.7995,0.7851,30.502177556490018,30.502177556490018,224.53699518890178,95.0,0.454,True
RUL_BEARING_LIN_U02,38.99,0.7942,0.7854,29.434331442122875,29.434331442122875,204.85846480112255,94.0,0.471,True
RUL_BEARING_LIN_U02,39.99,0.7889,0.7737,37.24817310238843,37.24817310238843,173.4069321844992,93.0,0.615,True
RUL_BEARING_LIN_U02,40.99,0.7837,0.7611,81.13271223968782,50.87433322186091,122.39113059645226,92.0,0.853,True
RUL_BEARING_LIN_U02,41.99,0.7784,0.7523,79.08693594236001,50.396647578286654,118.1768635103487,91.0,0.854,True
RUL_BEARING_LIN_U02,42.99,0.7731,0.7605,81.6791425080133,41.83418059997473,123.90463016531463,90.0,0.851,True
RUL_BEARING_LIN_U02,43.99,0.7678,0.7612,85.97915259124628,0.0,132.86874399585025,89.0,0.85,True
RUL_BEARING_LIN_U02,44.99,0.7626,0.7553,86.66622599742831,0.0,135.123954282065,88.0,0.847,True
RUL_BEARING_LIN_U02,45.99,0.7573,0.7565,81.68948517665825,56.657596636647824,113.68178194109962,87.0,0.902,True
RUL_BEARING_LIN_U02,46.99,0.752,0.7484,80.3485244076516,56.07397078792629,111.39348047467777,86.0,0.902,True
RUL_BEARING_LIN_U02,47.99,0.7467,0.7459,82.41765866387298,56.30641853692645,116.02086178824197,85.0,0.897,True
RUL_BEARING_LIN_U02,48.99,0.7414,0.7526,87.44790427697443,56.5890582767121,127.73623996573559,84.0,0.887,True
RUL_BEARING_LIN_U02,49.99,0.7362,0.7502,92.16291424961899,56.632092292759815,139.0755225915819,83.0,0.878,True
RUL_BEARING_LIN_U02,50.99,0.7309,0.7373,93.92108556594333,57.0016941474985,142.67554166007676,82.0,0.878,True
RUL_BEARING_LIN_U02,51.99,0.7256,0.7409,93.70955377252393,57.91315877921921,140.5897579335135,81.0,0.884,True
RUL_BEARING_LIN_U02,52.99,0.7203,0.7449,94.55038329937433,58.12006327042766,142.25620157961046,80.0,0.884,True
RUL_BEARING_LIN_U02,53.99,0.7151,0.7428,100.31546597062082,57.05243240925803,157.94955234694874,79.0,0.871,True
RUL_BEARING_LIN_U02,54.99,0.7098,0.6984,92.33002374286009,57.12372303450187,138.625560124827,78.0,0.881,True
RUL_BEARING_LIN_U02,55.99,0.7045,0.6736,81.34910503355611,52.755769694100266,156.93179522506745,77.0,0.87,True
RUL_BEARING_LIN_U02,56.99,0.6992,0.6724,77.27365135159111,26.777728615244534,112.10102853986919,76.0,0.868,True
RUL_BEARING_LIN_U02,57.99,0.6939,0.6747,75.76654211035009,0.0,109.14559405291607,75.0,0.868,True
RUL_BEARING_LIN_U02,58.99,0.6887,0.6818,72.64557500317241,53.05414861651617,97.61284737669172,74.0,0.904,True
RUL_BEARING_LIN_U02,59.99,0.6834,0.6649,68.23467988955225,37.35109990597445,90.15989218477996,73.0,0.905,True
RUL_BEARING_LIN_U02,60.99,0.6781,0.6561,65.71954757440804,16.373028290421537,86.10942332259395,72.0,0.904,True
RUL_BEARING_LIN_U02,61.99,0.6728,0.6547,37.555380683397495,37.555380683397495,85.23602692622917,71.0,0.904,True
RUL_BEARING_LIN_U02,62.99,0.6676,0.6547,33.415376243534716,33.415376243534716,81.60435206079957,70.0,0.905,True
RUL_BEARING_LIN_U02,63.99,0.6623,0.6573,31.511182241390323,31.511182241390323,81.39426373622001,69.0,0.903,True
RUL_BEARING_LIN_U02,64.99,0.657,0.6384,27.65489289255774,27.65489289255774,73.52885075068272,68.0,0.903,True
RUL_BEARING_LIN_U02,65.99,0.6517,0.6341,27.36276821652254,27.36276821652254,70.34993823417834,67.0,0.909,True
RUL_BEARING_LIN_U02,66.99,0.6464,0.6409,29.37603168838345,29.37603168838345,71.22364826890855,66.0,0.913,True
RUL_BEARING_LIN_U02,67.99,0.6412,0.6386,31.774656069550545,31.774656069550545,73.65809253125587,65.0,0.914,True
RUL_BEARING_LIN_U02,68.99,0.6359,0.6118,29.523781254834176,29.523781254834176,63.62993966924064,64.0,0.916,True
RUL_BEARING_LIN_U02,69.99,0.6306,0.612,29.888854297306423,29.888854297306423,62.4607940658928,63.0,0.92,True
RUL_BEARING_LIN_U02,70.99,0.6253,0.6121,33.66040885111681,33.66040885111681,63.82460247629452,62.0,0.929,True
RUL_BEARING_LIN_U02,71.99,0.6201,0.6089,51.65450742640034,37.15235747352566,61.099860062236544,61.0,0.941,True
RUL_BEARING_LIN_U02,72.99,0.6148,0.6139,52.526210670056585,44.40669060374965,62.31689555160305,60.0,0.94,True
RUL_BEARING_LIN_U02,73.99,0.6095,0.6009,50.27307236719506,42.86682845488108,59.195863244316854,59.0,0.941,True
RUL_BEARING_LIN_U02,74.99,0.6042,0.6041,51.14424230442863,43.31473733479152,60.618561309711524,58.0,0.938,True
RUL_BEARING_LIN_U02,75.99,0.5989,0.6023,51.75220420984394,43.358539783184426,62.01052164460051,57.0,0.932,True
RUL_BEARING_LIN_U02,76.99,0.5937,0.5863,49.141544221905455,41.53953864053621,58.44156942245459,56.0,0.931,True
RUL_BEARING_LIN_U02,77.99,0.5884,0.5831,48.986992506314714,41.325374510245325,58.389792320541154,55.0,0.929,True
RUL_BEARING_LIN_U02,78.99,0.5831,0.5772,49.05823202882605,41.26387893019843,58.65527860006741,54.0,0.927,True
RUL_BEARING_LIN_U02,79.99,0.5778,0.5516,44.72539334519847,38.27978870689985,52.6524822694178,53.0,0.928,True
RUL_BEARING_LIN_U02,80.99,0.5726,0.5586,46.55434554591394,39.55895993811773,55.16093407908365,52.0,0.928,True
RUL_BEARING_LIN_U02,81.99,0.5673,0.5607,48.58642087198556,41.03851287600211,57.85276405135712,51.0,0.929,True
RUL_BEARING_LIN_U02,82.99,0.562,0.5705,54.03502501796581,45.079171103690456,64.9289443690749,50.0,0.935,True
RUL_BEARING_LIN_U02,83.99,0.5567,0.5708,59.09329300826671,47.98879901699334,74.49990853920734,49.0,0.957,True
RUL_BEARING_LIN_U02,84.99,0.5514,0.5776,63.90228371640293,50.273398576174216,80.80271784186328,48.0,0.942,True
RUL_BEARING_LIN_U02,85.99,0.5462,0.5738,64.4346592977515,50.29621815092662,82.05288761616292,47.0,0.931,True
RUL_BEARING_LIN_U02,86.99,0.5409,0.5631,62.87610055645898,49.22876505225234,79.9399350082021,46.0,0.925,True
RUL_BEARING_LIN_U02,87.99,0.5356,0.5587,63.33490510596871,49.184438160724454,81.12535603302612,45.0,0.919,True
RUL_BEARING_LIN_U02,88.99,0.5303,0.5446,61.50965306072656,47.83584538874972,78.80992957402754,44.0,0.921,True
RUL_BEARING_LIN_U02,89.99,0.5251,0.5366,59.532950316975445,46.71753719465302,75.74930359469575,43.0,0.921,True
RUL_BEARING_LIN_U02,90.99,0.5198,0.5262,55.9439838843609,44.80056107623083,69.9875312067817,42.0,0.922,True
RUL_BEARING_LIN_U02,91.99,0.5145,0.5219,54.22682199578077,43.86820188037271,67.24532596900488,41.0,0.921,True
RUL_BEARING_LIN_U02,92.99,0.5092,0.5011,47.70397983282931,39.71177690818638,57.74061905871129,40.0,0.914,True
RUL_BEARING_LIN_U02,93.99,0.5039,0.4993,33.06780295405517,33.06780295405517,55.60052301530164,39.0,0.911,True
RUL_BEARING_LIN_U02,94.99,0.4987,0.4937,27.813050385390483,27.813050385390483,49.71277562685598,38.0,0.911,True
RUL_BEARING_LIN_U02,95.99,0.4934,0.4861,24.054780195070038,24.054780195070038,46.07827771576012,37.0,0.911,True
RUL_BEARING_LIN_U02,96.99,0.4881,0.4863,20.990343965593226,20.990343965593226,45.708478332661755,36.0,0.91,True
RUL_BEARING_LIN_U02,97.99,0.4828,0.487,19.055034765534657,19.055034765534657,45.995893979881714,35.0,0.91,True
